Date,Open,High,Low,Close,Adj Close,Volume
2021-05-13,15.950000,15.950000,15.950000,15.950000,14.458466,0
2021-05-14,16.450001,16.450001,16.450001,16.450001,14.911710,0
2021-05-17,16.320000,16.320000,16.320000,16.320000,14.793865,0
2021-05-18,16.180000,16.180000,16.180000,16.180000,14.666957,0
2021-05-19,16.500000,16.500000,16.500000,16.500000,14.957033,0
2021-05-20,16.980000,16.980000,16.980000,16.980000,15.392146,0
2021-05-21,16.980000,16.980000,16.980000,16.980000,15.392146,0
2021-05-24,17.440001,17.440001,17.440001,17.440001,15.809132,0
2021-05-25,17.459999,17.459999,17.459999,17.459999,15.827261,0
2021-05-26,17.540001,17.540001,17.540001,17.540001,15.899780,0
2021-05-27,17.629999,17.629999,17.629999,17.629999,15.981363,0
2021-05-28,17.870001,17.870001,17.870001,17.870001,16.198919,0
2021-06-01,17.799999,17.799999,17.799999,17.799999,16.135464,0
2021-06-02,17.940001,17.940001,17.940001,17.940001,16.262375,0
2021-06-03,17.700001,17.700001,17.700001,17.700001,16.044817,0
2021-06-04,18.139999,18.139999,18.139999,18.139999,16.443672,0
2021-06-07,18.059999,18.059999,18.059999,18.059999,16.371151,0
2021-06-08,17.950001,17.950001,17.950001,17.950001,16.271439,0
2021-06-09,17.840000,17.840000,17.840000,17.840000,16.171726,0
2021-06-10,18.040001,18.040001,18.040001,18.040001,16.353024,0
2021-06-11,18.180000,18.180000,18.180000,18.180000,16.479929,0
2021-06-14,18.420000,18.420000,18.420000,18.420000,16.697489,0
2021-06-15,18.270000,18.270000,18.270000,18.270000,16.561514,0
2021-06-16,18.180000,18.180000,18.180000,18.180000,16.479929,0
2021-06-17,18.450001,18.450001,18.450001,18.450001,16.724682,0
2021-06-18,18.080000,18.080000,18.080000,18.080000,16.389282,0
2021-06-21,18.160000,18.160000,18.160000,18.160000,16.461802,0
2021-06-22,18.280001,18.280001,18.280001,18.280001,16.570581,0
2021-06-23,18.379999,18.379999,18.379999,18.379999,16.661226,0
2021-06-24,18.690001,18.690001,18.690001,18.690001,16.942240,0
2021-06-25,18.629999,18.629999,18.629999,18.629999,16.887850,0
2021-06-28,19.170000,19.170000,19.170000,19.170000,17.377352,0
2021-06-29,19.270000,19.270000,19.270000,19.270000,17.468000,0
2021-06-30,19.240000,19.240000,19.240000,19.240000,17.440804,0
2021-07-01,19.030001,19.030001,19.030001,19.030001,17.250446,0
2021-07-02,19.160000,19.160000,19.160000,19.160000,17.368288,0
2021-07-06,19.139999,19.139999,19.139999,19.139999,17.350157,0
2021-07-07,18.850000,18.850000,18.850000,18.850000,17.087276,0
2021-07-08,18.580000,18.580000,18.580000,18.580000,16.842525,0
2021-07-09,18.860001,18.860001,18.860001,18.860001,17.096340,0
2021-07-12,19.110001,19.110001,19.110001,19.110001,17.322966,0
2021-07-13,18.959999,18.959999,18.959999,18.959999,17.186991,0
2021-07-14,18.799999,18.799999,18.799999,18.799999,17.041952,0
2021-07-15,18.309999,18.309999,18.309999,18.309999,16.597775,0
2021-07-16,17.809999,17.809999,17.809999,17.809999,16.144531,0
2021-07-19,17.910000,17.910000,17.910000,17.910000,16.235180,0
2021-07-20,18.150000,18.150000,18.150000,18.150000,16.452736,0
2021-07-21,18.740000,18.740000,18.740000,18.740000,16.987564,0
2021-07-22,18.610001,18.610001,18.610001,18.610001,16.869720,0
2021-07-23,18.709999,18.709999,18.709999,18.709999,16.960367,0
2021-07-26,18.670000,18.670000,18.670000,18.670000,16.924109,0
2021-07-27,18.360001,18.360001,18.360001,18.360001,16.643099,0
2021-07-28,18.680000,18.680000,18.680000,18.680000,16.933174,0
2021-07-29,19.000000,19.000000,19.000000,19.000000,17.223249,0
2021-07-30,19.120001,19.120001,19.120001,19.120001,17.332029,0
2021-08-02,19.320000,19.320000,19.320000,19.320000,17.513325,0
2021-08-03,19.480000,19.480000,19.480000,19.480000,17.658365,0
2021-08-04,19.700001,19.700001,19.700001,19.700001,17.857792,0
2021-08-05,19.740000,19.740000,19.740000,19.740000,17.894049,0
